year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2012,05,001,05001,103.91,85.32,227,23588,60.0,80.0,1.0,60.0,37.6,62.27,15.0,564.0,136.67,89.33,3.0,410.0,107.76,86.29,196.0,21120.0,,,,,,,,,119.5,97.75,12.0,1434.0,,,,
2012,08,033,08033,129.17,90.1,29,3746,,,,,,,,,,,,,132.67,87.89,27.0,3582.0,,,,,,,,,82.0,120.0,2.0,164.0,,,,
2012,47,181,47181,112.0,80.15,92,10304,,,,,,,,,,,,,113.13,75.59,85.0,9616.0,,,,,,,,,98.29,135.57,7.0,688.0,,,,
2012,05,053,05053,97.19,71.38,298,28962,120.33,40.0,3.0,361.0,53.5,34.5,2.0,107.0,,,,,98.57,72.76,267.0,26317.0,,,,,,,,,83.73,63.69,26.0,2177.0,,,,
2012,20,103,20103,151.06,96.96,1642,248037,158.5,70.0,6.0,951.0,127.12,99.18,17.0,2161.0,132.29,100.35,17.0,2249.0,151.18,96.25,1482.0,224050.0,126.0,91.67,3.0,378.0,36.0,82.0,1.0,36.0,157.0,106.82,116.0,18212.0,,,,
2012,35,028,35028,210.81,133.45,836,176239,191.2,109.6,5.0,956.0,271.0,144.2,5.0,1355.0,229.39,146.42,31.0,7111.0,209.5,133.96,633.0,132615.0,,,,,,,,,211.12,129.4,162.0,34202.0,,,,
2012,20,055,20055,118.49,88.88,320,37917,116.75,63.0,4.0,467.0,150.0,75.0,2.0,300.0,94.0,48.0,4.0,376.0,117.34,89.74,283.0,33208.0,138.33,99.0,3.0,415.0,,,,,131.29,89.75,24.0,3151.0,,,,
2012,46,129,46129,88.83,84.27,41,3642,,,,,,,,,,,,,83.59,80.68,37.0,3093.0,,,,,,,,,137.25,117.5,4.0,549.0,,,,
2012,39,087,39087,108.16,77.58,868,93881,61.5,142.0,2.0,123.0,98.67,91.11,9.0,888.0,196.4,99.2,5.0,982.0,107.92,76.18,802.0,86555.0,201.0,226.5,2.0,402.0,126.0,410.5,2.0,252.0,101.72,73.28,46.0,4679.0,,,,
2012,72,007,72007,109.01,51.79,67,7304,,,,,117.0,76.0,3.0,351.0,,,,,108.64,50.66,64.0,6953.0,,,,,,,,,,,,,,,,
2012,30,079,30079,270.24,129.12,17,4594,,,,,,,,,,,,,269.63,105.75,16.0,4314.0,,,,,,,,,280.0,503.0,1.0,280.0,,,,
2012,72,017,72017,91.09,48.54,78,7105,,,,,71.0,26.5,4.0,284.0,,,,,92.38,49.86,73.0,6744.0,,,,,77.0,40.0,1.0,77.0,,,,,,,,
2012,23,003,23003,99.38,83.81,700,69566,77.0,248.5,2.0,154.0,72.0,66.0,1.0,72.0,83.0,111.0,3.0,249.0,98.51,82.87,659.0,64920.0,33.0,57.0,1.0,33.0,,,,,121.71,91.26,34.0,4138.0,,,,
2012,19,185,19185,90.22,73.03,60,5413,,,,,,,,,,,,,86.37,59.7,54.0,4664.0,,,,,440.0,694.0,1.0,440.0,61.8,92.8,5.0,309.0,,,,
