year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app
2006,13,225,13225,106.65,70.63,1508,160832,39059,71.7,40.3,10.0,717.0,47151,103.5,100.5,2.0,207.0,06105,174.38,102.63,8.0,1395.0,48275,41.26,60.02,61,2517,51149,152.82,86.27,11.0,1681.0,36101,117.89,89.95,38.0,4480.0,36101,90.97,64.98,803.0,73049.0,,,,,
2006,16,011,16011,99.51,64.39,3078,306283,48297,62.5,35.5,2.0,125.0,23027,159.83,70.0,6.0,959.0,31055,132.2,114.81,549.0,72576.0,26089,234.31,134.03,1234,289144,12105,156.38,88.92,444.0,69432.0,28035,107.66,80.91,258.0,27776.0,37143,147.62,68.88,113.0,16681.0,,,,,
2006,24,029,24029,189.84,96.5,1694,321590,47151,145.13,72.75,8.0,1161.0,49007,92.17,50.0,6.0,553.0,51670,101.85,70.85,13.0,1324.0,35051,83.15,62.63,485,40326,39073,50.5,42.5,2.0,101.0,37143,175.24,85.64,25.0,4381.0,28035,92.46,58.1,458.0,42348.0,,,,,
2006,28,111,28111,67.24,50.7,546,36715,30027,100.5,61.33,6.0,603.0,20053,100.0,57.0,1.0,100.0,20095,162.67,129.67,3.0,488.0,48195,61.96,60.65,57,3532,48467,98.0,109.5,2.0,196.0,31027,56.0,51.0,6.0,336.0,31027,71.42,44.67,12.0,857.0,,,,,
2006,05,007,05007,137.35,88.11,18152,2493105,35021,80.0,46.0,2.0,160.0,27113,100.5,60.5,2.0,201.0,21209,131.6,104.65,20.0,2632.0,36061,627.26,375.52,18592,11661937,21209,167.5,44.0,2.0,335.0,13141,152.46,123.62,13.0,1982.0,13141,122.37,80.56,86.0,10524.0,,,,,
2006,12,033,12033,136.3,88.49,25143,3427018,23027,70.33,63.75,12.0,844.0,27159,80.0,28.5,2.0,160.0,48467,69.17,70.33,6.0,415.0,27079,152.96,88.84,1789,273648,19127,36.25,47.0,4.0,145.0,39091,103.31,82.17,58.0,5992.0,39091,100.0,59.7,447.0,44700.0,,,,,
2006,20,189,20189,83.89,67.95,153,12835,49007,67.31,52.62,13.0,875.0,18131,125.43,86.86,7.0,878.0,31177,118.0,96.33,3.0,354.0,72131,89.94,45.66,529,47580,28045,76.75,42.25,4.0,307.0,39059,76.39,59.87,31.0,2368.0,39059,85.93,49.63,272.0,23374.0,,,,,
2006,28,023,28023,73.0,55.43,579,42267,27113,108.67,70.83,6.0,652.0,28003,53.74,38.4,100.0,5374.0,55111,164.19,150.76,21.0,3448.0,37129,199.31,126.95,14271,2844389,13237,126.88,99.75,8.0,1015.0,48297,114.25,65.25,4.0,457.0,48297,81.08,83.33,51.0,4135.0,,,,,
2006,72,053,72053,119.04,85.37,1663,197963,27159,117.5,84.5,2.0,235.0,01015,81.97,63.62,884.0,72465.0,45007,150.61,132.97,62.0,9338.0,26013,82.86,63.43,154,12760,13135,142.17,88.39,452.0,64263.0,47151,92.57,78.21,14.0,1296.0,47151,79.55,43.63,116.0,9228.0,,,,,
2006,23,005,23005,180.86,94.16,21503,3889054,18131,68.25,45.0,4.0,273.0,13253,82.68,51.61,66.0,5457.0,01005,183.33,96.33,3.0,550.0,39143,101.9,61.21,2817,287059,55111,108.88,66.25,8.0,871.0,30027,117.31,63.77,26.0,3050.0,30027,122.07,122.7,30.0,3662.0,,,,,
2006,51,047,51047,222.39,97.75,6290,1398853,38041,81.0,73.0,1.0,81.0,72143,135.56,68.25,61.0,8269.0,42125,165.97,104.73,63.0,10456.0,48465,88.56,69.97,1251,110788,45007,124.17,68.61,18.0,2235.0,23027,134.35,84.18,80.0,10748.0,35021,48.25,29.75,4.0,193.0,,,,,
2006,28,061,28061,67.94,49.56,541,36754,28003,44.5,26.0,2.0,89.0,72017,87.89,41.63,27.0,2373.0,47033,56.33,45.67,3.0,169.0,37041,144.12,91.83,539,77683,53021,98.21,52.2,91.0,8937.0,49007,83.55,58.53,38.0,3175.0,23027,135.85,73.04,576.0,78250.0,,,,,
2006,38,071,38071,78.19,67.65,310,24239,01015,72.93,63.93,30.0,2188.0,50009,95.71,49.0,7.0,670.0,39021,182.0,67.0,2.0,364.0,48279,59.05,79.52,268,15825,37193,34.5,50.75,4.0,138.0,20053,89.0,51.5,2.0,178.0,20053,95.06,57.17,18.0,1711.0,,,,,
2006,29,077,29077,111.69,76.16,20572,2297594,72143,97.42,48.37,19.0,1851.0,06105,196.5,67.33,6.0,1179.0,36049,37.0,33.0,1.0,37.0,20NA ,74.39,49.36,373,27746,17005,72.5,77.0,2.0,145.0,27113,80.13,61.13,16.0,1282.0,49007,81.14,58.88,108.0,8763.0,,,,,
2006,40,039,40039,88.76,70.95,1000,88762,72017,73.75,30.25,8.0,590.0,17181,123.0,63.67,3.0,369.0,51135,59.5,65.75,4.0,238.0,51109,182.67,89.59,2659,485727,19173,51.0,24.0,1.0,51.0,18131,74.75,54.38,16.0,1196.0,27113,77.45,55.78,76.0,5886.0,,,,,
2006,28,009,28009,64.21,50.83,356,22858,50009,27.0,49.0,1.0,27.0,31055,89.96,61.53,2856.0,256939.0,26089,196.25,168.5,8.0,1570.0,51820,121.51,63.05,1274,154806,01005,162.5,55.0,2.0,325.0,27159,92.12,64.58,26.0,2395.0,27159,108.34,77.3,108.0,11701.0,,,,,
2006,06,007,06007,199.25,94.87,17896,3565830,13253,75.0,44.0,1.0,75.0,51670,95.33,57.4,554.0,52813.0,48275,84.5,59.0,2.0,169.0,28049,127.81,97.81,4005,511869,55135,127.0,69.0,2.0,254.0,28003,90.15,50.23,52.0,4688.0,18131,82.06,54.27,100.0,8206.0,,,,,
2006,47,083,47083,80.86,55.27,366,29593,06105,151.57,50.0,7.0,1061.0,20095,93.0,43.33,3.0,279.0,51073,221.16,97.05,19.0,4202.0,44003,177.54,85.87,12620,2240500,42125,111.6,80.6,15.0,1674.0,19143,54.75,54.75,4.0,219.0,28003,86.23,71.38,180.0,15522.0,,,,,
2006,72,137,72137,107.65,57.15,2797,301097,17181,115.6,68.8,5.0,578.0,48467,93.53,52.21,38.0,3554.0,35051,74.0,31.4,5.0,370.0,21229,89.53,57.66,466,41721,51035,123.0,26.0,2.0,246.0,01015,107.5,88.7,177.0,19028.0,13253,82.75,49.77,61.0,5048.0,,,,,
2006,23,NA ,23NA ,147.28,69.49,335,49339,31055,88.18,82.17,180.0,15873.0,21209,115.42,64.45,136.0,15697.0,06069,456.62,188.35,150.0,68493.0,27029,110.11,65.77,383,42172,47033,152.0,57.0,1.0,152.0,72143,215.84,106.35,75.0,16188.0,01015,94.27,72.61,872.0,82207.0,,,,,
2006,46,051,46051,85.21,64.95,327,27863,51670,126.79,60.71,14.0,1775.0,31177,220.14,101.71,7.0,1541.0,51610,389.38,197.42,60.0,23363.0,17061,59.16,52.92,469,27746,13175,141.25,88.13,8.0,1130.0,50009,87.33,64.5,6.0,524.0,19143,64.62,47.9,21.0,1357.0,,,,,
2006,40,063,40063,71.38,50.52,441,31477,20095,36.0,47.6,5.0,180.0,29199,231.0,87.0,1.0,231.0,41051,178.29,95.6,4590.0,818371.0,51071,87.48,56.06,955,83546,39021,92.0,66.0,4.0,368.0,13253,138.75,56.75,4.0,555.0,50009,95.14,57.61,74.0,7040.0,,,,,
2006,39,081,39081,78.12,56.76,3662,286085,48467,73.91,68.91,11.0,813.0,47027,129.0,52.5,2.0,258.0,13025,26.0,55.0,1.0,26.0,72151,87.31,40.63,381,33265,36049,101.0,75.0,1.0,101.0,72017,126.24,54.97,33.0,4166.0,72017,94.94,49.33,18.0,1709.0,,,,,
2006,17,065,17065,60.78,47.93,158,9604,21209,150.5,73.83,6.0,903.0,55111,188.58,84.5,24.0,4526.0,36061,529.31,277.08,3170.0,1677923.0,20083,111.16,69.81,37,4113,29143,173.0,144.0,1.0,173.0,17181,72.41,69.82,17.0,1231.0,72143,110.95,58.0,56.0,6213.0,,,,,
2006,34,041,34041,201.65,102.59,10113,2039253,29199,54.5,43.5,2.0,109.0,48045,12.0,31.0,1.0,12.0,27079,122.2,75.8,10.0,1222.0,20045,134.86,86.31,5199,701159,51135,37.5,36.0,2.0,75.0,06105,157.42,76.79,43.0,6769.0,06105,175.42,75.41,175.0,30698.0,,,,,
